NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Glamorgan,The Calgary School Division,Public School,Glamorgan School,50 Grafton Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9121,N,Y,Y,N,2021/02/28,T3E4W3,1000915,-114.14539828714524,51.015379944068926,"(51.015379944068926, -114.14539828714524)"
Aurora Learning Calgary,Aurora Learning Foundation (Calgary),Private School,Aurora Learning Calgary,#137 5305 McCall Way NE,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1397,N,Y,Y,Y,2021/02/28,T2E7N7,2304641,-114.00303449514637,51.10133931422609,"(51.10133931422609, -114.00303449514637)"
St. Gregory,The Calgary Roman Catholic Separate School Division,Separate School,St. Gregory School,5340 - 26 Avenue S.W.,Calgary,AB,Junior High,N,Provincial Data,8710,N,N,Y,N,2021/02/28,T3E0R6,1382519,-114.16047374152122,51.03113745402188,"(51.03113745402188, -114.16047374152122)"
Vista Heights,The Calgary School Division,Public School,Vista Heights School,2411 Vermillion Street N.E.,Calgary,AB,Elementary,N,Provincial Data,9239,N,Y,N,N,2021/02/28,T2E6J3,1376033,-114.01707356956825,51.073887238956885,"(51.073887238956885, -114.01707356956825)"
Taradale,The Calgary School Division,Public School,Taradale School,"170 Taravista Drive N.E,",Calgary,AB,Elementary,N,Provincial Data,1450,N,Y,N,N,2021/02/28,,1383515,-113.93775508268502,51.12125306210077,"(51.12125306210077, -113.93775508268502)"
Braeside,The Calgary School Division,Public School,Braeside School,1747 - 107 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,9305,N,Y,N,N,2021/02/28,T2W0C3,1382885,-114.10169431546197,50.956673559277114,"(50.956673559277114, -114.10169431546197)"
Renfrew Educational Services - Child Development Centre,Renfrew Educational Services Society,Private School,Renfrew Educational Services - Child Development Centre,2050 - 21 Street N.E.,Calgary,AB,Unknown,N,Provincial Data,280,N,N,N,N,2021/02/28,,1380513,-114.14392908351746,51.07476523311914,"(51.07476523311914, -114.14392908351746)"
Bowcroft,The Calgary School Division,Public School,Bowcroft School,3940 - 73 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9111,N,Y,N,N,2021/02/28,T3B2L9,1382349,-114.19278889034004,51.0875590584316,"(51.0875590584316, -114.19278889034004)"
St. Augustine Elementary Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. Augustine Elementary Junior High School,7112 - 7 Street S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8708,N,Y,Y,N,2021/02/28,T2V1E9,1382905,-114.08077713043531,50.99111368914504,"(50.99111368914504, -114.08077713043531)"
St. Francis High,The Calgary Roman Catholic Separate School Division,Separate School,St. Francis High School,877 Northmount Drive N.W.,Calgary,AB,Senior High,N,Provincial Data,8902,N,N,N,Y,2021/02/28,,1382293,-114.10240754784752,51.08450658312066,"(51.08450658312066, -114.10240754784752)"
Vincent Massey,The Calgary School Division,Public School,Vincent Massey School,939 - 45 Street S.W.,Calgary,AB,Junior High,N,Provincial Data,9628,N,N,Y,N,2021/02/28,T3C2B9,1382130,-114.15342310390386,51.0440372581387,"(51.0440372581387, -114.15342310390386)"
Senator Patrick Burns,The Calgary School Division,Public School,Senator Patrick Burns School,2155 Chilcotin Road N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9640,N,Y,Y,N,2021/02/28,T2L0X2,1383123,-114.11553670016748,51.08821109631006,"(51.08821109631006, -114.11553670016748)"
West View,The Calgary School Division,Public School,West View School,Calgary Young Offender Centre 12626 - 85 Street N.W.,Calgary,AB,Junior High/Senior High,N,Provincial Data,9687,N,N,Y,Y,2021/02/28,T3R1J3,1557811,-114.20807048345276,51.165579390733726,"(51.165579390733726, -114.20807048345276)"
Ecole Terre des Jeunes,The Southern Francophone Education Region,Francophone,Ecole Terre des Jeunes,3720 - 42 Street NW,Calgary,AB,Elementary,N,Provincial Data,1364,N,Y,N,N,2021/02/28,T3A0C6,1382344,-114.14997269495294,51.0853094470369,"(51.0853094470369, -114.14997269495294)"
Corpus Christi,The Calgary Roman Catholic Separate School Division,Separate School,Corpus Christi School,5607 Thornton Road N.W.,Calgary,AB,Elementary,N,Provincial Data,8501,N,Y,N,N,2021/02/28,T2K3C1,1384094,-114.0680318288637,51.101596937173056,"(51.101596937173056, -114.0680318288637)"
Calgary German Language School Society,Calgary German Language School Society,Private School,Calgary German Language School Society,PO Box 84114   Market Mall RPO,Calgary,AB,Junior High/Senior High,N,Provincial Data,9925,N,N,Y,Y,2021/02/28,T3B2L9,1382349,-114.19278889034004,51.0875590584316,"(51.0875590584316, -114.19278889034004)"
St. Patrick,The Calgary Roman Catholic Separate School Division,Separate School,St. Patrick School,6006 Rundlehorn Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,8507,N,Y,N,N,2021/02/28,T1Y2X1,1383007,-113.94670276869337,51.07198995436679,"(51.07198995436679, -113.94670276869337)"
Horizon Heritage Arabic,Horizon Academy Institute,Private School,Horizon Heritage Arabic School,"Building B4, 2452 Battleford A",Calgary,AB,Senior High,N,Provincial Data,1913,N,N,N,Y,2021/02/28,T3C3P1,1376393,-114.1398144283913,51.03967370693621,"(51.03967370693621, -114.1398144283913)"
Terrace Road,The Calgary School Division,Public School,Terrace Road School,2103 - 46 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9138,N,Y,N,N,2021/02/28,T3B1B3,1376539,-114.1579317405693,51.07450187846564,"(51.07450187846564, -114.1579317405693)"
Rundle,The Calgary School Division,Public School,Rundle School,4120 Rundlehorn Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9358,N,Y,N,N,2021/02/28,T1Y4W9,1381142,-113.9737217405466,51.07118231533872,"(51.07118231533872, -113.9737217405466)"
David Thompson,The Calgary School Division,Public School,David Thompson School,9320 Arbour Crescent S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9641,N,Y,Y,N,2021/02/28,T2J1K4,1382277,-114.05465136499893,50.96940358851814,"(50.96940358851814, -114.05465136499893)"
Holy Child,The Calgary Roman Catholic Separate School Division,Separate School,Holy Child School,31 Silverado Terrace SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,2160,N,Y,Y,N,2021/02/28,T2X0K4,2382710,-114.08313812292558,50.88618302412995,"(50.88618302412995, -114.08313812292558)"
Ascension of Our Lord,The Calgary Roman Catholic Separate School Division,Separate School,Ascension of Our Lord,509 Harvest Hills Drive N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,333,N,Y,Y,N,2021/02/28,T3K4G9,1383730,-114.05968876099476,51.14695688983867,"(51.14695688983867, -114.05968876099476)"
Catherine Nichols Gunn,The Calgary School Division,Public School,Catherine Nichols Gunn School,6625 - 4 Street N.E.,Calgary,AB,Elementary,N,Provincial Data,9232,N,Y,N,N,2021/02/28,T2K5C7,1378455,-114.05789503920653,51.11164371544339,"(51.11164371544339, -114.05789503920653)"
Pineridge,The Calgary School Division,Public School,Pineridge School,1927 - 61 Street N.E.,Calgary,AB,Elementary,N,Provincial Data,9360,N,Y,N,N,2021/02/28,T1Y4W6,1601009,-113.94522928922134,51.070324796585155,"(51.070324796585155, -113.94522928922134)"
Panorama Hills,The Calgary School Division,Public School,Panorama Hills School,1057 Panorama Hills Dr N.E,Calgary,AB,Elementary,N,Provincial Data,1452,N,Y,N,N,2021/02/28,T3K0S4,1375881,-114.08592144910396,51.155814013156686,"(51.155814013156686, -114.08592144910396)"
W.O. Mitchell,The Calgary School Division,Public School,W.O. Mitchell School,511 Silvergrove Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9257,N,Y,N,N,2021/02/28,T3B4R9,1378946,-114.19428748015133,51.11369077417258,"(51.11369077417258, -114.19428748015133)"
